Our ID,Our Item Type,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,URL,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Publisher,Place,Language,Type,Our Sorting Date,Our Note
12,ReviewArticle,journalArticle,2016,"Schuch, Felipe B.;Vancampfort, Davy;Richards, Justin;Rosenbaum, Simon;Ward, Philip B.;Stubbs, Brendon",Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Journal of Psychiatric Research,223956,10.1016/j.jpsychires.2016.02.023,https://linkinghub.elsevier.com/retrieve/pii/S0022395616300383,"The effects of exercise on depression have been a source of contentious debate. Meta-analyses have demonstrated a range of effect sizes. Both inclusion criteria and heterogeneity may inﬂuence the effect sizes reported. The extent and inﬂuence of publication bias is also unknown. Randomized controlled trials (RCTs) were identiﬁed from a recent Cochrane review and searches of major electronic databases from 01/2013 to 08/2015. We included RCTs of exercise interventions in people with depression (including those with a diagnosis of major depressive disorder (MDD) or ratings on depressive symptoms), comparing exercise versus control conditions. A random effects meta-analysis calculating the standardized mean difference (SMD, 95% conﬁdence interval; CI), meta-regressions, trim and ﬁll and failsafe n analyses were conducted. Twenty-ﬁve RCTs were included comparing exercise versus control comparison groups, including 9 examining participants with MDD. Overall, exercise had a large and signiﬁcant effect on depression (SMD adjusted for publication bias ¼ 1.11 (95% CI 0.79e1.43)) with a failsafe number of 1057. Most adjusted analyses suggested publication bias led to an underestimated SMD. Larger effects were found for interventions in MDD, utilising aerobic exercise, at moderate and vigorous intensities, in a supervised and unsupervised format. In MDD, larger effects were found for moderate intensity, aerobic exercise, and interventions supervised by exercise professionals. Exercise has a large and signiﬁcant antidepressant effect in people with depression (including MDD). Previous meta-analyses may have underestimated the beneﬁts of exercise due to publication bias. Our data strongly support the claim that exercise is an evidence-based treatment for depression.",2016-06,42-51,,,77,,,en,,6/1/2016,
13,ReviewArticle,journalArticle,2016,"Schuch, Felipe B.;Vancampfort, Davy;Rosenbaum, Simon;Richards, Justin;Ward, Philip B.;Stubbs, Brendon",Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Psychiatry Research,1651781,10.1016/j.psychres.2016.04.054,https://linkinghub.elsevier.com/retrieve/pii/S0165178115307721,"Exercise has established efﬁcacy as an antidepressant in people with depression. However, few metaanalyses have assessed the effects of exercise across different domains of Quality of Life (QoL) in people with depression. Furthermore, there has been no previous meta-analysis of control group response in relation to QoL in exercise trials for depression. Randomized Clinical Trials(RCTs) were initially identiﬁed from a Cochrane review, and those including QoL assessments were included in the analysis. Search of major electronic databases were conducted to identify RCTs that compared the exercise effects on QoL versus control condition in people with depression. A random effects meta-analysis was employed to evaluate the Standardized Mean Difference (SMD). Six RCTs were included. Exercise signiﬁcantly improved physical and psychological domains and overall QoL. Effects on social relationship and environment domains were not signiﬁcant. No signiﬁcant control group response was found for any domain or overall QoL. Exercise can be considered as a therapeutic strategy to improve physical and psychological domains and overall QoL of people with depression, with no effect evident across the social and environmental domains. The lack of improvement among control groups reinforces the role of exercise as a treatment for depression with beneﬁts to QoL.",2016-07,47-54,,,241,,,en,,7/1/2016,
14,ReviewArticle,journalArticle,2016,"Carter, Tim;Morres, Ioannis D.;Meade, Oonagh;Callaghan, Patrick",The effect of exercise on depressive symptoms in adolescents: a systematic review and meta-analysis,Journal of the American Academy of Child & Adolescent Psychiatry,8908567,10.1016/j.jaac.2016.04.016,https://linkinghub.elsevier.com/retrieve/pii/S0890856716301708,"Conclusion: Physical exercise appears to improve depressive symptoms in adolescents, especially in clinical samples in which the moderate antidepressant effect, higher methodological quality, and lowered statistical heterogeneity suggest that exercise may be a useful treatment strategy for depression. Larger trials with clinical samples that adequately minimize the risk of bias are required for ﬁrmer conclusions on the effectiveness of exercise as an antidepressant treatment.",2016-07,580-590,,7,55,,,en,,7/1/2016,
15,ReviewArticle,journalArticle,2016,"Schuch, Felipe B.;Vancampfort, Davy;Rosenbaum, Simon;Richards, Justin;Ward, Philip B.;Veronese, Nicola;Solmi, Marco;Cadore, Eduardo L.;Stubbs, Brendon",Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Revista Brasileira de Psiquiatria,"1809-452X, 1516-4446",10.1590/1516-4446-2016-1915,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462016000300247&lng=en&tlng=en,"Objective: To evaluate the antidepressant effects of exercise in older adults, using randomized controlled trial (RCT) data. Methods: We conducted a meta-analysis of exercise in older adults, addressing limitations of previous works. RCTs of exercise interventions in older people with depression (X 60 years) comparing exercise vs. control were eligible. A random-effects meta-analysis calculating the standardized mean difference (SMD) (95% conﬁdence interval [95%CI]), meta-regressions, and trim, ﬁll, and fail-safe number analyses were conducted. Results: Eight RCTs were included, representing 138 participants in exercise arms and 129 controls. Exercise had a large and signiﬁcant effect on depression (SMD = -0.90 [95%CI -0.29 to -1.51]), with a fail-safe number of 71 studies. Signiﬁcant effects were found for 1) mixed aerobic and anaerobic interventions, 2) at moderate intensity, 3) that were group-based, 4) that utilized mixed supervised and unsupervised formats, and 5) in people without other clinical comorbidities. Conclusion: Adjusting for publication bias increased the beneﬁcial effects of exercise in three subgroup analysis, suggesting that previous meta-analyses have underestimated the beneﬁts of exercise due to publication bias. We advocate that exercise be considered as a routine component of the management of depression in older adults.",7/18/2016,247-254,,3,38,,,en,,7/18/2016,
16,ReviewArticle,journalArticle,2016,"Kvam, Siri;Kleppe, Catrine Lykkedrang;Nordhus, Inger Hilde;Hovland, Anders",Exercise as a treatment for depression: A meta-analysis,Journal of Affective Disorders,1650327,10.1016/j.jad.2016.03.063,https://linkinghub.elsevier.com/retrieve/pii/S0165032715314221,"Background: This meta-analysis of randomized controlled trials (RCTs) examines the efﬁcacy of physical exercise as treatment for unipolar depression, both as an independent intervention and as an adjunct intervention to antidepressant medication. Methods: We searched PsycINFO, EMBASE, MEDLINE, CENTRAL, and Sports Discus for articles published until November 2014. Effect sizes were computed with random effects models. The main outcome was reduction in depressive symptoms or remission. Results: A total of 23 RCTs and 977 participants were included. Physical exercise had a moderate to large signiﬁcant effect on depression compared to control conditions (g ¼ À 0.68), but the effect was small and not signiﬁcant at follow-up (g ¼ À 0.22). Exercise compared to no intervention yielded a large and signiﬁcant effect size (g ¼ À 1.24), and exercise had a moderate and signiﬁcant effect compared to usual care (g ¼ À 0.48). The effects of exercise when compared to psychological treatments or antidepressant medication were small and not signiﬁcant (g ¼ À 0.22 and g ¼ À 0.08, respectively). Exercise as an adjunct to antidepressant medication yielded a moderate effect (g ¼ À 0.50) that trended toward signiﬁcance. Limitations: Use of the arms with the largest clinical effect instead of largest dose may have overestimated the effect of exercise. Conclusions: Physical exercise is an effective intervention for depression. It also could be a viable adjunct treatment in combination with antidepressants.",2016-09,67-86,,,202,,,en,,9/1/2016,
17,ReviewArticle,journalArticle,2017,"Radovic, Sara;Gordon, Michael S;Melvin, Glenn A",Should we recommend exercise to adolescents with depressive symptoms? A meta-analysis: Exercise and depression in adolescents,Journal of Paediatrics and Child Health,10344810,10.1111/jpc.13426,http://doi.wiley.com/10.1111/jpc.13426,"There is growing interest in the potential role of exercise in the reduction of depressive symptoms. The aim of this meta-analysis was to examine whether exercise reduces depressive symptoms amongst depressed adolescents. The following databases were searched on 30 January 2015: MEDLINE, PsychINFO, SPORTDiscuss and PUBMED. Studies were included if they examined exercise interventions amongst adolescents with clinical levels of depressive symptoms, were published in peer-reviewed journals in the English language and contained a control/ comparison group. Of 6631 retrieved studies, eight studies were included in the meta-analysis. Meta-analysis was conducted using a random effects model due to the high level of heterogeneity identiﬁed amongst studies (I2 = 65.1, P < .005). The analysis revealed a moderate reduction in depressive symptoms post-intervention (Hedge’s g = −0.61, P = .007). This analysis provides preliminary evidence that exercise is effective in reducing symptoms of depression among adolescents with clinical levels of depressive symptoms. The present meta-analysis, however, is limited by the generally low quality of included studies, high level of between-study heterogeneity and restriction of inclusion criteria to published studies. Further high-quality trials with depressed adolescents are needed to determine the efﬁcacy of exercise in the reduction of depressive symptoms and the exercise parameters associated with the antidepressant effects of exercise.",2017-03,214-220,,3,53,,,en,,3/1/2017,
18,ReviewArticle,journalArticle,2017,"Brondino, N.;Rocchetti, M.;Fusar-Poli, L.;Codrons, E.;Correale, L.;Vandoni, M.;Barbui, C.;Politi, P.",A systematic review of cognitive effects of exercise in depression,Acta Psychiatrica Scandinavica,0001690X,10.1111/acps.12690,http://doi.wiley.com/10.1111/acps.12690,"Objective: The aim of the present systematic review and meta-analysis was to evaluate the impact of physical exercise on cognitive symptoms in depressed adult patients. Methods: Systematic literature search was performed in Web of ScienceTM and CINAHL from inception to August 2016. Two reviewers independently selected randomized trials evaluating the eﬀect of exercise on cognitive functions in patients with a validated diagnosis of depression. Outcome measures included global cognition and diﬀerent cognitive domains (speed of processing, attention/vigilance, working memory, verbal and visual memory, and reasoning). Results: Eight trials met inclusion criteria (637 patients). A ﬁxed-eﬀects model showed absence of beneﬁcial eﬀect on global cognition (Hedges’ g = 0.07, 95% CI À0.08 to 0.24, I2 = 0%) as well as on speciﬁc cognitive domains. Sensitivity analyses did not show an impact of exercise in studies with shorter intervention duration compared to longer trials (between group heterogeneity Q = 3.564, df = 1, P = 0.059), single session per week compared to multiple sessions (Q = 2.691, df = 1, P = 0.101) and low exercise intensity compared with moderate/high intensity (Q = 2.952, df = 1, P = 0.086). Conclusion: Our meta-analysis did not observe a substantial beneﬁt of physical exercise on cognitive symptoms in depression.",2017-04,285-295,,4,135,,,en,,4/1/2017,
19,ReviewArticle,journalArticle,2017,"Cramer, Holger;Anheyer, Dennis;Lauche, Romy;Dobos, Gustav",A systematic review of yoga for major depressive disorder,Journal of Affective Disorders,0165-0327,10.1016/j.jad.2017.02.006,http://www.sciencedirect.com/science/article/pii/S0165032716324004,"Background The purpose of this review was to investigate the efficacy and safety of yoga interventions in treating patients with major depressive disorder. Methods MEDLINE, Scopus, and the Cochrane Library were screened through December 2016. Randomized controlled trials (RCTs) comparing yoga to inactive or active comparators in patients with major depressive disorder were eligible. Primary outcomes included remission rates and severity of depression. Anxiety and adverse events were secondary outcomes. Risk of bias was assessed using the Cochrane tool. Results Seven RCTs with 240 participants were included. Risk of bias was unclear for most RCTs. Compared to aerobic exercise, no short- or medium-term group differences in depression severity was found. Higher short-term depression severity was found for yoga compared to electro-convulsive therapy; remission rates did not differ between groups. No short-term group differences occurred when yoga was compared to antidepressant medication. Conflicting evidence was found when yoga was compared to attention-control interventions, or when yoga as an add-on to antidepressant medication was compared to medication alone. Only two RCTs assessed adverse events and reported that no treatment-related adverse events were reported. Limitations Few RCTs with low sample size. Conclusions This review found some evidence for positive effects beyond placebo and comparable effects compared to evidence-based interventions. However, methodological problems and the unclear risk-benefit ratio preclude definitive recommendations for or against yoga as an adjunct treatment for major depressive disorder. Larger and adequately powered RCTs using non-inferiority designs are needed.",4/15/2017,70-77,,,213,,,en,,4/15/2017,
20,ReviewArticle,journalArticle,2017,"Sukhato, Kanokporn;Lotrakul, Manote;Dellow, Alan;Ittasakul, Pichai;Thakkinstian, Ammarin;Anothaisintawee, Thunyarat",Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,BMJ Open,"2044-6055, 2044-6055",10.1136/bmjopen-2016-014499,https://bmjopen-bmj-com.proxy2.library.illinois.edu/content/7/7/e014499,"Objectives To systematically review and compare the efficacy of all available home-based non-pharmacological treatments of depression. Design Systematic review and network meta-analysis of randomised controlled trials. Data sources Medline, Scopus and Cumulative Index to Nursing and Allied Health Literature (CINAHL) databases were searched since inceptions to 7 August 2016. Eligibility criteria Randomised controlled trials comparing the efficacy of home-based non-pharmacological interventions with usual care of patients with depression were included in the review. Main outcomes Depression symptom scores and disease remission rates at the end of treatment. Results Seventeen studies were included in the review. Home-based non-pharmacological interventions were categorised as (1) home-based psychological intervention, (2) home-based exercise intervention, (3) combined home-based psychological intervention with exercise intervention and (4) complementary medicine. Complementary medicine approaches were excluded from the meta-analysis due to heterogeneity. The standardised mean differences of post-treatment depression symptom scores between usual care groups and home-based psychological intervention, home-based exercise intervention and combined home-based psychological intervention with exercise intervention were âˆ’0.57 (95% CI âˆ’0.84 to âˆ’0.31), âˆ’1.03 (95% CI âˆ’2.89 to 0.82) and âˆ’0.78 (95% CI âˆ’1.09 to âˆ’0.47), respectively. These results suggest that only home-based psychological intervention and combined home-based psychological intervention with exercise intervention could significantly decrease depression scores. Compared with usual care groups, the disease remission rate was also significantly higher for home-based psychological intervention (pooled risk ratio=1.53; 95%â€‰CI 1.19 to 1.98) and combined home-based psychological intervention with exercise intervention (pooled risk ratio=3.47; 95%â€‰CI 2.11 to 5.70). Of all the studied interventions, combined home-based psychological intervention with exercise intervention had the highest probability of resulting in disease remission. Conclusion Our study confirms the efficacy of home-based psychological intervention and combined home-based psychological intervention with exercise intervention in the treatment of depression. Combined home-based psychological intervention and exercise intervention was the best treatment and should be considered for inclusion in clinical guidelines for managing depression.",7/1/2017,e014499,,7,7,,,en,,7/1/2017,
21,ReviewArticle,journalArticle,2017,"Krogh, Jesper;Hjorthøj, Carsten;Speyer, Helene;Gluud, Christian;Nordentoft, Merete",Exercise for patients with major depression: a systematic review with meta-analysis and trial sequential analysis,BMJ Open,"2044-6055, 2044-6055",10.1136/bmjopen-2016-014820,https://bmjopen.bmj.com/lookup/doi/10.1136/bmjopen-2016-014820,"Objectives  To assess the benefits and harms of exercise in patients with depression. Design  Systematic review Data sources  Bibliographical databases were searched until 20 June 2017. Eligibility criteria and outcomes  Eligible trials were randomised clinical trials assessing the effect of exercise in participants diagnosed with depression. Primary outcomes were depression severity, lack of remission and serious adverse events (eg, suicide) assessed at the end of the intervention. Secondary outcomes were quality of life and adverse events such as injuries, as well as assessment of depression severity and lack of remission during follow-up after the intervention. Results  Thirty-five trials enrolling 2498 participants were included. The effect of exercise versus control on depression severity was −0.66 standardised mean difference (SMD) (95% CI −0.86 to −0.46; p<0.001; grading of recommendations assessment, development and evaluation (GRADE): very low quality). Restricting this analysis to the four trials that seemed less affected of bias, the effect vanished into −0.11 SMD (−0.41 to 0.18; p=0.45; GRADE: low quality). Exercise decreased the relative risk of no remission to 0.78 (0.68 to 0.90; p<0.001; GRADE: very low quality). Restricting this analysis to the two trials that seemed less affected of bias, the effect vanished into 0.95 (0.74 to 1.23; p=0.78). Trial sequential analysis excluded random error when all trials were analysed, but not if focusing on trials less affected of bias. Subgroup analyses found that trial size and intervention duration were inversely associated with effect size for both depression severity and lack of remission. There was no significant effect of exercise on secondary outcomes. Conclusions  Trials with less risk of bias suggested no antidepressant effects of exercise and there were no significant effects of exercise on quality of life, depression severity or lack of remission during followup. Data for serious adverse events and adverse events were scarce not allowing conclusions for these outcomes. Systematic review registration  The protocol was published in the journal Systematic Reviews: 2015; 4:40.",2017-09,e014820,,9,7,,,en,,9/1/2017,
22,ReviewArticle,journalArticle,2017,"Vancampfort, Davy;Firth, Joseph;Schuch, Felipe B.;Rosenbaum, Simon;Mugisha, James;Hallgren, Mats;Probst, Michel;Ward, Philip B.;Gaughran, Fiona;De Hert, Marc;Carvalho, André F.;Stubbs, Brendon","Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",World Psychiatry,17238617,10.1002/wps.20458,http://doi.wiley.com/10.1002/wps.20458,"People with severe mental illness (schizophrenia, bipolar disorder or major depressive disorder) die up to 15 years prematurely due to chronic somatic comorbidities. Sedentary behavior and low physical activity are independent yet modiﬁable risk factors for cardiovascular disease and premature mortality in these people. A comprehensive meta-analysis exploring these risk factors is lacking in this vulnerable population. We conducted a metaanalysis investigating sedentary behavior and physical activity levels and their correlates in people with severe mental illness. Major electronic databases were searched from inception up to April 2017 for articles measuring sedentary behavior and/or physical activity with a self-report questionnaire or an objective measure (e.g., accelerometer). Random effects meta-analyses and meta-regression analyses were conducted. Sixty-nine studies were included (N535,682; 39.5% male; mean age 43.0 years). People with severe mental illness spent on average 476.0 min per day (95% CI: 407.3-545.4) being sedentary during waking hours, and were signiﬁcantly more sedentary than age- and gender-matched healthy controls (p50.003). Their mean amount of moderate or vigorous physical activity was 38.4 min per day (95% CI: 32.0-44.8), being signiﬁcantly lower than that of healthy controls (p50.002 for moderate activity, p<0.001 for vigorous activity). People with severe mental illness were signiﬁcantly less likely than matched healthy controls to meet physical activity guidelines (odds ratio 5 1.5; 95% CI: 1.1-2.0, p<0.001, I2595.8). Lower physical activity levels and non-compliance with physical activity guidelines were associated with male gender, being single, unemployment, fewer years of education, higher body mass index, longer illness duration, antidepressant and antipsychotic medication use, lower cardiorespiratory ﬁtness and a diagnosis of schizophrenia. People with bipolar disorder were the most physically active, yet spent most time being sedentary. Geographical differences were detected, and inpatients were more active than outpatients and those living in the community. Given the established health beneﬁts of physical activity and its low levels in people with severe mental illness, future interventions speciﬁcally targeting the prevention of physical inactivity and sedentary behavior are warranted in this population.",2017-10,308-315,,3,16,,,en,,10/1/2017,
