ID,Title,author_given_name,author_surname,author_id
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Simon,Rosenbaum,45761309400
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Philip B.,Ward,7402102266
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Justin,Richards,56949738900
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Andrew,Soundy,23006632000
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Nicola,Veronese,36998781200
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Marco,Solmi,6507233742
9,Dropout from exercise randomized controlled trials among people with depression: A meta-analysis and meta regression,Felipe B.,Schuch,14016488400
10,Exercise and depressive symptoms in older adults: a systematic meta-analytic review,Kathleen T.,Rhyner,56538172100
10,Exercise and depressive symptoms in older adults: a systematic meta-analytic review,Amber,Watts,8404566600
11,Moderators of response in exercise treatment for depression: A systematic review,F. B.,Schuch,14016488400
11,Moderators of response in exercise treatment for depression: A systematic review,A. L.,Dunn,7201720357
11,Moderators of response in exercise treatment for depression: A systematic review,A. C.,Kanitz,54785967400
11,Moderators of response in exercise treatment for depression: A systematic review,R. S.,Delevatti,56521543800
11,Moderators of response in exercise treatment for depression: A systematic review,M. P.,Fleck,7004523568
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Felipe B.,Schuch,14016488400
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Davy,Vancampfort,26326634000
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Justin,Richards,56949738900
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Simon,Rosenbaum,45761309400
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Philip B.,Ward,7402102266
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Brendon,Stubbs,57204891343
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Felipe B.,Schuch,14016488400
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Davy,Vancampfort,26326634000
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Simon,Rosenbaum,45761309400
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Justin,Richards,56949738900
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Philip B.,Ward,7402102266
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Brendon,Stubbs,57204891343
14,The effect of exercise on depressive symptoms in adolescents: a systematic review and meta-analysis,Tim,Carter,7201799357
14,The effect of exercise on depressive symptoms in adolescents: a systematic review and meta-analysis,Ioannis D.,Morres,15752770000
14,The effect of exercise on depressive symptoms in adolescents: a systematic review and meta-analysis,Oonagh,Meade,35318571400
14,The effect of exercise on depressive symptoms in adolescents: a systematic review and meta-analysis,Patrick,Callaghan,56007614600
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Felipe B.,Schuch,14016488400
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Davy,Vancampfort,26326634000
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Simon,Rosenbaum,45761309400
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Justin,Richards,56949738900
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Philip B.,Ward,7402102266
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Nicola,Veronese,36998781200
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Marco,Solmi,6507233742
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Eduardo L.,Cadore,24480570200
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Brendon,Stubbs,57204891343
16,Exercise as a treatment for depression: A meta-analysis,Siri,Kvam,163
16,Exercise as a treatment for depression: A meta-analysis,Catrine Lykkedrang,Kleppe,164
16,Exercise as a treatment for depression: A meta-analysis,Inger,Hilde Nordhus,165
16,Exercise as a treatment for depression: A meta-analysis,Anders,Hovland,166
17,Should we recommend exercise to adolescents with depressive symptoms? A meta-analysis: Exercise and depression in adolescents,Sara,Radovic,57193791658
17,Should we recommend exercise to adolescents with depressive symptoms? A meta-analysis: Exercise and depression in adolescents,Michael S.,Gordon,56714626000
17,Should we recommend exercise to adolescents with depressive symptoms? A meta-analysis: Exercise and depression in adolescents,Glenn A.,Melvin,6603806651
18,A systematic review of cognitive effects of exercise in depression,N.,Brondino,16229631000
18,A systematic review of cognitive effects of exercise in depression,M.,Rocchetti,55486699800
18,A systematic review of cognitive effects of exercise in depression,L.,Fusar-Poli,56652240300
18,A systematic review of cognitive effects of exercise in depression,E.,Codrons,55735387800
18,A systematic review of cognitive effects of exercise in depression,L.,Correale,56312494600
18,A systematic review of cognitive effects of exercise in depression,M.,Vandoni,24778918500
18,A systematic review of cognitive effects of exercise in depression,C.,Barbui,36886312000
18,A systematic review of cognitive effects of exercise in depression,P.,Politi,57201386464
19,A systematic review of yoga for major depressive disorder,Holger,Cramer,50161242500
19,A systematic review of yoga for major depressive disorder,Dennis,Anheyer,57191537058
19,A systematic review of yoga for major depressive disorder,Romy,Lauche,23482138400
19,A systematic review of yoga for major depressive disorder,Gustav,Dobos,55491154600
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Kanokporn,Sukhato,56769973600
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Manote,Lotrakul,6507562219
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Alan,Dellow,16300969400
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Pichai,Ittasakul,54885338400
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Ammarin,Thakkinstian,6602111727
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Thunyarat,Anothaisintawee,26533839900
21,Exercise for patients with major depression: a systematic review with meta-analysis and trial sequential analysis,Jesper,Krogh,15069543200
21,Exercise for patients with major depression: a systematic review with meta-analysis and trial sequential analysis,Carsten,Hjorth¯j,17343946100
21,Exercise for patients with major depression: a systematic review with meta-analysis and trial sequential analysis,Helene,Speyer,56685782700
21,Exercise for patients with major depression: a systematic review with meta-analysis and trial sequential analysis,Christian,Gluud,7004884514
21,Exercise for patients with major depression: a systematic review with meta-analysis and trial sequential analysis,Merete,Nordentoft,7006191523
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Davy,Vancampfort,26326634000
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Joseph,Firth,56503241000
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Felipe B.,Schuch,14016488400
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Simon,Rosenbaum,45761309400
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",James,Mugisha,37023472700
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Mats,Hallgren,35072791900
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Michel,Probst,7102075562
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Philip B.,Ward,7402102266
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Fiona,Gaughran,6602336142
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Marc,De Hert,7004425915
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",AndrÈ F.,Carvalho,56225206500
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Brendon,Stubbs,57204891343
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Liye,Zou,57192235862
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Albert,Yeung,24315287900
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Xinfeng,Quan,57200397889
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Stanley Sai Chuen,Hui,57191242489
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Xiaoyue,Hu,57221044259
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Jessie S.M.,Chan,54893588800
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Chaoyi,Wang,55774718700
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Sean David,Boyden,57188931745
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Li,Sun,57201111532
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Huiru,Wang,56046884000
24,Treating depression with physical activity in adolescents and young adults: a systematic review and meta-analysis of randomised controlled trials,A. P.,Bailey,55924691100
24,Treating depression with physical activity in adolescents and young adults: a systematic review and meta-analysis of randomised controlled trials,S. E.,Hetrick,16444162500
24,Treating depression with physical activity in adolescents and young adults: a systematic review and meta-analysis of randomised controlled trials,S.,Rosenbaum,45761309400
24,Treating depression with physical activity in adolescents and young adults: a systematic review and meta-analysis of randomised controlled trials,R.,Purcell,7102497294
24,Treating depression with physical activity in adolescents and young adults: a systematic review and meta-analysis of randomised controlled trials,A. G.,Parker,14833384000
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Brett R.,Gordon,57195406552
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Cillian P.,McDowell,57189003519
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Mats,Hallgren,35072791900
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Jacob D.,Meyer,54585710400
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Mark,Lyons,24381887600
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Matthew P.,Herring,27067659600
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Felipe B.,Schuch,14016488400
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Davy,Vancampfort,26326634000
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Joseph,Firth,56503241000
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Simon,Rosenbaum,45761309400
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Philip B.,Ward,7402102266
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Edson S.,Silva,57212116249
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Mats,Hallgren,35072791900
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Antonio Ponce,De Leon,7006344446
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Andrea L.,Dunn,7201720357
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Andrea C.,Deslandes,6602385251
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Marcelo P.,Fleck,7004523568
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Andre F.,Carvalho,57214830066
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Brendon,Stubbs,57204891343
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Ana Heloisa Nascimento,Beserra,57327765900
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Priscila,Kameda,57205168661
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Andrea Camaz,Deslandes,6602385251
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Felipe Barreto,Schuch,14016488400
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Jerson,Laks,56218826200
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Helena Sales de,Moraes,21734345600
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Ioannis D.,Morres,15752770000
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Antonis,Hatzigeorgiadis,6602278210
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Afroditi,Stathi,22136826400
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Nikos,Comoutos,57195557334
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Chantal,Arpin-Cribbie,6504077128
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Charalampos,Krommidas,55883537400
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Yannis,Theodorakis,6701441570
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Louise,Czosnek,57204286814
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Oscar,Lederman,56641855000
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Prue,Cormie,14017684300
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Eva,Zopf,39862439600
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Brendon,Stubbs,57204891343
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Simon,Rosenbaum,45761309400
30,Running through your mind,John H.,Greist,7006893886
30,Running through your mind,Marjorie H.,Klein,7404419547
30,Running through your mind,Roger R.,Eischens,6506281745
30,Running through your mind,John,Faris,24539482700
30,Running through your mind,Alan S.,Gurman,6701313040
30,Running through your mind,William P.,Morgan,7402679913
31,Running as treatment for depression,John H.,Greist,7006893886
31,Running as treatment for depression,Marjorie H.,Klein,7404419547
31,Running as treatment for depression,Roger R.,Eischens,6506281745
31,Running as treatment for depression,John,Faris,24539482700
31,Running as treatment for depression,Alan S.,Gurman,6701313040
31,Running as treatment for depression,William P.,Morgan,7402679913
32,A Comparison of the Psychological Effects of Running and Transactional Analysis Stroking for the Relief of Reactive Depression in Adults,Robert Joseph,Fetsch,103
33,The Effect of Running on Individuals Who Are Clinically Depressed,Martha Ann,Rueter,104
34,Clinical Treatments of Depression,Deborah Kay,Orth,105
35,A Comparison of Beck's Cognitive Therapy and Jogging as Treatments for Depression, Mary Joan,Hess-Homeier,106
36,Physical fitness training and counseling as treatment for youthful offenders,James C.,Hilyer,166
36,Physical fitness training and counseling as treatment for youthful offenders,Dennis G.,Wilson,167
36,Physical fitness training and counseling as treatment for youthful offenders,Carol,Dillon,168
36,Physical fitness training and counseling as treatment for youthful offenders,Laura,Caro,169
36,Physical fitness training and counseling as treatment for youthful offenders,Chester,Jenkins,170
36,Physical fitness training and counseling as treatment for youthful offenders,Mark E.,Meadows,171
36,Physical fitness training and counseling as treatment for youthful offenders,Wayne,Booker,172
36,Physical fitness training and counseling as treatment for youthful offenders,William A.,`,173
37,The Separate and Combined Effects of Cognitively Based Counseling and Aerobic Exercise for the Treatment of Mild and Moderate Depression,Jeff,Fremont,6506535310
38,Influence of aerobic exercise on depression,I. Lisa,McCann,6603569492
38,Influence of aerobic exercise on depression,David S.,Holmes,25949852000
39,Running as an adjunct to counseling in the treatment of depression,M,Reuter,107
39,Running as an adjunct to counseling in the treatment of depression,N,Mutrie,108
39,Running as an adjunct to counseling in the treatment of depression,D. V,Harris,109
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Marjorie H.,Klein,7404419547
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,John H.,Greist,7006893886
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Alan S.,Gurman,6701313040
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Robert A.,Neimeyer,7005719430
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Dean P.,Lesser,174
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Robert E.,Smith,175
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Nancy J.,Bushnell,176
41,Effects of aerobic exercise on depression: a controlled study.,Egil W.,Martinsen,7006645948
41,Effects of aerobic exercise on depression: a controlled study.,A.,Medhus,56587740900
41,Effects of aerobic exercise on depression: a controlled study.,L.,Sandvik,57217502597
42,Aerobic Exercise and Group Counseling in the Treatment of Anxiety and Depression,John L,Setaro,110
43,Aerobic Activity Versus Group Cognitive Therapy: An Evaluative Study of Contrasting Interventions for the Alleviation of Clinical Depression,Donald,Epstein,111
44,Exercise as a Treatment for Depression Within a National Health Service,Nanette,Mutrie,108
45,Aerobic exercise and cognitive therapy in the treatment of dysphoric moods,Jeffrey,Fremont,6506535310
45,Aerobic exercise and cognitive therapy in the treatment of dysphoric moods,Linda Wilcoxon,Craighead,6701807247
46,Running versus weight lifting in the treatment of depression,Elizabeth J.,Doyne,6506136404
46,Running versus weight lifting in the treatment of depression,Deborah J.,Ossip-Klein,54879291500
46,Running versus weight lifting in the treatment of depression,Eric D.,Bowman,7102143051
46,Running versus weight lifting in the treatment of depression,Kent M.,Osborn,7005345302
46,Running versus weight lifting in the treatment of depression,Ilona B.,McDougall-Wilson,6508123381
46,Running versus weight lifting in the treatment of depression,Robert A.,Neimeyer,7005719430
47,Exercise as a treatment for moderate depression in the UK National Health Service,Nanette,Mutrie,108
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,Mary E.,Farmer,7102225249
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,Ben Z.,Locke,7006590644
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,Eve K.,Mo?cicki,6701658147
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,Andrew L.,Dannenberg,57214499609
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,David B.,Larson,7402634129
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,Lenore S.,Radloff,6506080406
49,Physical and psychological effects of aerobic exercise in delinquent adolescent males,James R.,Macmahon,7005154844
49,Physical and psychological effects of aerobic exercise in delinquent adolescent males,Ruth T.,Gross,57198558624
50,Effects of running or weight lifting on self-concept in clinically depressed women,Deborah J.,Ossip-Klein,54879291500
50,Effects of running or weight lifting on self-concept in clinically depressed women,Elizabeth J.,Doyne,6506136404
50,Effects of running or weight lifting on self-concept in clinically depressed women,Eric D.,Bowman,7102143051
50,Effects of running or weight lifting on self-concept in clinically depressed women,Kent M.,Osborn,7005345302
50,Effects of running or weight lifting on self-concept in clinically depressed women,Ilona B.,McDougall-Wilson,6508123381
50,Effects of running or weight lifting on self-concept in clinically depressed women,Robert A.,Neimeyer,7005719430
51,Comparing aerobic with nonaerobic forms of exercise in the treatment of clinical depression: A randomized trial,Egil W.,Martinsen,7006645948
51,Comparing aerobic with nonaerobic forms of exercise in the treatment of clinical depression: A randomized trial,Asle,Hoffart,35614522300
51,Comparing aerobic with nonaerobic forms of exercise in the treatment of clinical depression: A randomized trial,ÿyvind,Solberg,55408586400
52,Efficacy of two relaxation techniques in depression,Rima,Dhir,112
52,Efficacy of two relaxation techniques in depression,Aruna,Broota,113
53,Psychological and cognitive effects of an exercise program for community-residing older adults,Charles F.,Emery,7007009387
53,Psychological and cognitive effects of an exercise program for community-residing older adults,Margaret,Gatz,35465828000
54,High Versus Low-Intensity Exercise as Part of an Inpatient Treatment Program for Childhood and Adolescent Depression,Keith Douglas,Kanner,114
55,A meta-analysis on the anxiety-reducing effects of acute and chronic exercise,Steven J.,Petruzzello,7003907368
55,A meta-analysis on the anxiety-reducing effects of acute and chronic exercise,Daniel M.,Landers,7102066570
55,A meta-analysis on the anxiety-reducing effects of acute and chronic exercise,Brad D.,Hatfield,7005058794
55,A meta-analysis on the anxiety-reducing effects of acute and chronic exercise,Karla A.,Kubitz,6602829865
55,A meta-analysis on the anxiety-reducing effects of acute and chronic exercise,Walter,Salazar-Rojas,6701727150
56,Physical activity and depression: evidence from the Alameda County Study,Terry C.,Camacho,6602457126
56,Physical activity and depression: evidence from the Alameda County Study,Robert E.,Roberts,35351499600
56,Physical activity and depression: evidence from the Alameda County Study,Nancy B.,Lazarus,7007092531
56,Physical activity and depression: evidence from the Alameda County Study,George A.,Kaplan,35468361300
56,Physical activity and depression: evidence from the Alameda County Study,Richard D.,Cohen,7404152243
57,The effect of exercise on depressive symptoms in the moderately depressed elderly,J. K.,McNeil,7202414432
57,The effect of exercise on depressive symptoms in the moderately depressed elderly,E. M.,LeBlanc,7007183120
57,The effect of exercise on depressive symptoms in the moderately depressed elderly,M.,Joyner,57203177933
58,Long-term effects of exercise on psychological functioning in older men and women,J. A.,Blumenthal,24382350300
58,Long-term effects of exercise on psychological functioning in older men and women,C. F.,Emery,7007009387
58,Long-term effects of exercise on psychological functioning in older men and women,D. J.,Madden,7102788548
58,Long-term effects of exercise on psychological functioning in older men and women,S.,Schniebolk,6602554931
58,Long-term effects of exercise on psychological functioning in older men and women,M.,Walsh-Riddle,6508204889
58,Long-term effects of exercise on psychological functioning in older men and women,L. K.,George,7102942521
58,Long-term effects of exercise on psychological functioning in older men and women,D. C.,McKee,7101654161
58,Long-term effects of exercise on psychological functioning in older men and women,M. B.,Higginbotham,7004839331
58,Long-term effects of exercise on psychological functioning in older men and women,F. R.,Cobb,7004995747
58,Long-term effects of exercise on psychological functioning in older men and women,R. E.,Coleman,7403206451
59,Aerobic exercise in the psychological treatment of adolescents,S. W.,Brown,55619310551
59,Aerobic exercise in the psychological treatment of adolescents,M. C.,Welsh,7202401788
59,Aerobic exercise in the psychological treatment of adolescents,E. E.,LabbÈ,16171284300
59,Aerobic exercise in the psychological treatment of adolescents,W. F.,Vitulli,7004073151
59,Aerobic exercise in the psychological treatment of adolescents,P.,Kulkarni,57198344854
60,Physical inactivity and depression in the community: evidence from the Upper Bavarian Field Study,S.,Weyerer,7006788675
61,Aerobic exercise in the adjunctive treatment of depression: a randomized controlled trial,D.,Veale,7102803269
61,Aerobic exercise in the adjunctive treatment of depression: a randomized controlled trial,K.,Le Fevre,6507896770
61,Aerobic exercise in the adjunctive treatment of depression: a randomized controlled trial,C.,Pantelis,7005521189
61,Aerobic exercise in the adjunctive treatment of depression: a randomized controlled trial,V.,De Souza,57197596398
61,Aerobic exercise in the adjunctive treatment of depression: a randomized controlled trial,A.,Mann,57220674721
61,Aerobic exercise in the adjunctive treatment of depression: a randomized controlled trial,A.,Sargeant,7006290848
62,Psychological and physical benefits of circuit weight training in law enforcement personnel,Nancy,Norvell,6602806877
62,Psychological and physical benefits of circuit weight training in law enforcement personnel,Dale,Belles,6603871689
63,Effectiveness of Shavasana on depression among university students,S. S.,Kumar,115
63,Effectiveness of Shavasana on depression among university students,Paramjit,Kaur,116
63,Effectiveness of Shavasana on depression among university students,Sarabjit,Kaur,117
64,Physical activity and personal characteristics associated with depression and suicide in American college men,R. S.,Paffenbarger,7005568128
64,Physical activity and personal characteristics associated with depression and suicide in American college men,I.M,Lee,7404437968
64,Physical activity and personal characteristics associated with depression and suicide in American college men,R.,Leung,7101876132
65,"Aerobic exercise, psychological well-being, and physical discomforts during adolescent pregnancy",Deborah,Koniak‚ÄêGriffin,7003581057
66,Evaluation of smoking on the physical activity and depressive symptoms relationship,David R.,Brown,56813986600
66,Evaluation of smoking on the physical activity and depressive symptoms relationship,Janet B.,Croft,7004374614
