ID,paper assigned ID,Type,Study Groupings,Title,year,Attitude,Doi,Retracted (Y/N)
35,MRFITStamler1997,Primary Study Report,S2,Sodium intake and mortality from myocardial infarction: multiple risk factor intervention trial (MRFIT),1997,against,,
36,MRFITCohen1999a,Primary Study Report,S2,Workshop on Sodium and Blood Pressure,1999,against,,
37,MRFITCohen1999b,Primary Study Report,S2,Dietary sodium intake and mortality: MRFIT Followup Study Results,1999,against,,
38,TOHPII1997,Primary Study Report,,"Effects of weight loss and sodium reduction intervention on blood pressure and hypertension incidence in overweight people with high-normal blood pressure - The trials of hypertension prevention, phase II",1997,inconclusive,,
39,Tunstall-Pedoe1997,Primary Study Report,,Comparison of the prediction by 27 different factors of coronary heart disease and death in men and women of the Scottish heart health study: cohort study,1997,against,10.1136/bmj.315.7110.722,
40,Ascherio1998,Primary Study Report,,"Intake of potassium, magnesium, calcium, and fiber and risk of stroke among US men",1998,against,10.1161/01.CIR.98.12.1198,
41,NHANESI1998,Primary Study Report,,Dietary sodium intake and mortality: the National Health and Nutrition Examination Survey (NHANES I),1998,against,10.1016/S0140-6736(97)09092-2,
42,TONEWhelton1998,Primary Study Report,S3,Sodium reduction and weight loss in the treatment of hypertension in older persons - A randomized controlled trial of nonpharmacologic interventions in the elderly (TONE),1998,for,10.1001/jama.279.11.839,
43,TONEAppel2001,Primary Study Report,S3,Effects of reduced sodium intake on hypertension control in older individuals - Results from the trial of nonpharmacologic interventions in the elderly (TONE),2001,for,10.1001/archinte.161.5.685,
44,Valkonen1998,Primary Study Report,,Sodium and potassium excretion and the risk of acute myocardial infarction,1998,against,,
45,He1999,Primary Study Report,S4,Dietary sodium intake and subsequent risk of cardiovascular disease in overweight adults,1999,for,10.1001/jama.282.21.2027,
46,He2002,Primary Study Report,S4,Dietary sodium intake and incidence of congestive heart failure in overweight US men and women,2002,for,10.1001/archinte.162.14.1619,
47,Tuomilehto2001,Primary Study Report,,Urinary sodium excretion and cardiovascular mortality in Finland: a prospective study,2001,for,10.1016/S0140-6736(00)04199-4,
48,Licata2003,Primary Study Report,,Effects of high-dose furosemide and small-volume hypertonic saline solution infusion in comparison with a high dose of furosemide as bolus in refractory congestive heart failure: long-term effects,2003,against,10.1067/mhj.2003.166,
49,Nagata2004,Primary Study Report,,Sodium intake and risk of death from stroke in Japanese men and women,2004,for,10.1161/01.STR.0000130425.50441.b0,
50,Paterna2005,Primary Study Report,,Changes in brain natriuretic peptide levels and bioelectrical impedance measurements after treatment with high-dose furosemide and hypertonic saline solution versus high-dose furosemide alone in refractory congestive heart failure - A double-blind study,2005,against,10.1016/j.jacc.2005.01.059,
51,Chang2006,Primary Study Report,,Effect of potassium-enriched salt on cardiovascular mortality and medical expenses of elderly men,2006,inconclusive,10.1093/ajcn/83.6.1289,
52,NHANESII2006,Primary Study Report,,Sodium intake and mortality in the NHANES II follow-up study,2006,against,10.1016/j.amjmed.2005.10.042,
53,Geleijnse2007,Primary Study Report,,Sodium and potassium intake and risk of cardiovascular events and all-cause mortality: the Rotterdam Study,2007,against,10.1007/s10654-007-9186-2,
54,Li2007,Primary Study Report,,"Salt substitution: a low-cost strategy for blood pressure control among rural Chinese. A randomized, controlled trial",2007,for,10.1097/HJH.0b013e3282b9714b,
55,TOHPI&IIfollow-upCook2007,Primary Study Report,S5,Long term effects of dietary sodium reduction on cardiovascular disease outcomes: observational follow-up of the trials of hypertension prevention (TOHP),2007,for,10.1136/bmj.39147.604896.55,
56,TOHPI&IIfollow-upCook2009,Primary Study Report,S5,Joint effects of sodium and potassium intake on subsequent cardiovascular disease: the Trials of Hypertension Prevention follow-up study,2009,for,10.1001/archinternmed.2008.523,
57,TOHPI&IIfollow-upCook2014,Primary Study Report,S5,Lower levels of sodium intake and reduced cardiovascular risk,2014,for,10.1161/CIRCULATIONAHA.113.006032,
58,Larsson2008,Primary Study Report,,"Magnesium, calcium, potassium, and sodium intakes and risk of stroke in male smokers",2008,against,10.1001/archinte.168.5.459,
59,NHANESIII2008,Primary Study Report,,Sodium intake and mortality follow-up in the Third National Health and Nutrition Examination Survey (NHANES III),2008,against,10.1007/s11606-008-0645-6,
60,Paterna2008,Primary Study Report,,Normal-sodium diet compared with low-sodium diet in compensated congestive heart failure: is sodium an old enemy or a new friend?,2008,against,10.1042/CS20070193,
61,Umesawa2008,Primary Study Report,,Relations between dietary sodium and potassium intakes and mortality from cardiovascular disease: the Japan Collaborative Cohort Study for Evaluation of Cancer Risks,2008,for,10.1093/ajcn/88.1.195,
62,Nakamura2009,Primary Study Report,,"A Japanese diet and 19-year mortality: National Integrated Project for Prospective Observation of Non-Communicable Diseases and its Trends in the Aged, 1980",2009,for,10.1017/S0007114508111503,
63,Parrinello2009,Primary Study Report,,Long-term effects of dietary sodium intake on cytokines and neurohormonal activation in patients with recently compensated congestive heart failure,2009,against,10.1016/j.cardfail.2009.06.002,
64,Paterna2009,Primary Study Report,,"Medium term effects of different dosage of diuretic, sodium, and fluid administration on neurohormonal and clinical outcome in patients with recently compensated heart failure",2009,against,10.1016/j.amjcard.2008.08.043,
65,Dong2010,Primary Study Report,,Low dietary sodium intake increases the death risk in peritoneal dialysis,2010,against,10.2215/CJN.05410709,
66,Takachi2010,Primary Study Report,,Consumption of sodium and salted foods in relation to cancer and cardiovascular disease: the Japan Public Health Center-based Prospective Study,2010,for,10.3945/ajcn.2009.28587,
67,Tobari2010,Primary Study Report,,Physician-pharmacist cooperation program for blood pressure control in patients with hypertension: a randomized-controlled trial,2010,inconclusive,10.1038/ajh.2010.127,
68,Arcand2011,Primary Study Report,,A high-sodium diet is associated with acute decompensated heart failure in ambulatory heart failure patients: a prospective follow-up study,2011,for ,10.3945/ajcn.110.000174,
69,Ekinci2011,Primary Study Report,,Dietary salt intake and mortality in patients with type 2 diabetes,2011,against,10.2337/dc10-1723,
70,Kono2011,Primary Study Report,,Recurrence risk after noncardioembolic mild ischemic stroke in a Japanese population,2011,for,10.1159/000323233,
71,Lennie2011,Primary Study Report,,Three gram sodium intake is associated with longer event-free survival only in patients with advanced heart failure,2011,against,10.1016/j.cardfail.2010.11.008,
72,Lennie2007,Primary Study Report,,Abstract 2236: Three Gram Sodium Intake is Associated with Better Event-Free Survival Only in Patients with Advanced Heart Failure,2011,against,,
73,Liang2011,Primary Study Report,,"Dietary Intake of Minerals and the Risk of Ischemic Stroke in Guangdong Province, China, 2007-2008",2011,for,,
74,O'Donnell2011,Primary Study Report,,Urinary sodium and potassium excretion and risk of cardiovascular events,2011,against,10.1001/jama.2011.1729,
75,Paterna2011,Primary Study Report,,Short-Term Effects of Hypertonic Saline Solution in Acute Heart Failure and Long-Term Effects of a Moderate Sodium Restriction in Patients With Compensated Heart Failure With New York Heart Association Class III (Class C) (SMAC-HF Study),2011,against,10.1097/MAJ.0b013e31820f10ad,
76,Son2011,Primary Study Report,,Adherence to a sodium-restricted diet is associated with lower symptom burden and longer cardiac event-free survival in patients with heart failure,2011,for,10.1111/j.1365-2702.2011.03755.x,
77,Stolarz-Skrzypek2011,Primary Study Report,,"Fatal and nonfatal outcomes, incidence of hypertension, and blood pressure changes in relation to urinary sodium excretion",2011,against,10.1001/jama.2011.574,
78,Thomas2011,Primary Study Report,,"The association between dietary sodium intake, ESRD, and all-cause mortality in patients with type 1 diabetes",2011,for,10.2337/dc10-1722,
79,Yang2011,Primary Study Report,,Sodium and Potassium Intake and Mortality Among US Adults Prospective Data From the Third National Health and Nutrition Examination Survey,2011,for,10.1001/archinternmed.2011.257,
80,Costa2012,Primary Study Report,,"High sodium intake adversely affects oxidative-inflammatory response, cardiac remodelling and mortality after myocardial infarction",2012,for,10.1016/j.atherosclerosis.2012.02.037,
81,Gardener2012,Primary Study Report,,Dietary sodium and risk of stroke in the Northern Manhattan study,2012,for,10.1161/STROKEAHA.111.641043,
82,Ikehara2012,Primary Study Report,,Salt preference and mortality from stroke and coronary heart disease for Japanese men and women: the JACC study,2012,for,10.1016/j.ypmed.2011.10.013,
83,Kwok2012,Primary Study Report,,A randomized controlled trial of dietetic interventions to prevent cognitive decline in old age hostel residents,2012,inconclusive,10.1038/ejcn.2012.117,
84,LambersHeerspink2012,Primary Study Report,,Moderation of dietary sodium potentiates the renal and cardiovascular protective effects of angiotensin receptor blockers,2012,for,10.1038/ki.2012.74,
85,McCausland2012,Primary Study Report,,Increased dietary sodium is independently associated with greater mortality among prevalent hemodialysis patients,2012,for,10.1038/ki.2012.42,
86,Song2013,Primary Study Report,,Dietary sodium restriction below 2 g per day predicted shorter event-free survival in patients with mild heart failure,2013,against,10.1177/1474515113517574,
87,Tikellis2013,Primary Study Report,,Association of dietary sodium intake with atherogenesis in experimental diabetes and with cardiovascular disease in patients with Type 1 diabetes,2013,against,10.1042/CS20120352,
88,Horiakwa2014,Primary Study Report,,Dietary Sodium Intake and Incidence of Diabetes Complications in Japanese Patients with Type 2 Diabetes - Analysis of the Japan Diabetes Complications Study (JDCS),2014,for,10.1210/jc.2013-4315,
89,Joosten2014,Primary Study Report,,Sodium excretion and risk of developing coronary heart disease,2014,against,10.1161/CIRCULATIONAHA.113.004290,
90,McQuarrie2014,Primary Study Report,,"Association between urinary sodium, creatinine, albumin, and long-term survival in chronic kidney disease",2014,for,10.1161/HYPERTENSIONAHA.113.03093,
91,O'Donnell2014,Primary Study Report,,"Urinary sodium and potassium excretion, mortality, and cardiovascular events",2014,against,10.1056/NEJMoa1311889,
92,Pfister2014,Primary Study Report,,Estimated urinary sodium excretion and risk of heart failure in men and women in the EPIC-Norfolk study,2014,against,10.1002/ejhf.56,
93,Singer2014,Primary Study Report,,Assessing the Associations of Sodium Intake With Long-Term All-Cause and Cardiovascular Mortality in a Hypertensive Cohort,2014,against,10.1093/ajh/hpu141,
