ID,Title,author_given_name,author_surname,author_id,
11,Moderators of response in exercise treatment for depression: A systematic review,F. B.,Schuch,14016488400,F. B. Schuch
11,Moderators of response in exercise treatment for depression: A systematic review,A. L.,Dunn,7201720357,A. L. Dunn
11,Moderators of response in exercise treatment for depression: A systematic review,A. C.,Kanitz,54785967400,A. C. Kanitz
11,Moderators of response in exercise treatment for depression: A systematic review,R. S.,Delevatti,56521543800,R. S. Delevatti
11,Moderators of response in exercise treatment for depression: A systematic review,M. P.,Fleck,7004523568,M. P. Fleck
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Felipe B.,Schuch,14016488400,Felipe B. Schuch
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Davy,Vancampfort,26326634000,Davy Vancampfort
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Justin,Richards,56949738900,Justin Richards
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Simon,Rosenbaum,45761309400,Simon Rosenbaum
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Philip B.,Ward,7402102266,Philip B. Ward
12,Exercise as a treatment for depression: A meta-analysis adjusting for publication bias,Brendon,Stubbs,57204891343,Brendon Stubbs
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Felipe B.,Schuch,14016488400,Felipe B. Schuch
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Davy,Vancampfort,26326634000,Davy Vancampfort
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Simon,Rosenbaum,45761309400,Simon Rosenbaum
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Justin,Richards,56949738900,Justin Richards
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Philip B.,Ward,7402102266,Philip B. Ward
13,Exercise improves physical and psychological quality of life in people with depression: A meta-analysis including the evaluation of control group response,Brendon,Stubbs,57204891343,Brendon Stubbs
14,The effect of exercise on depressive symptoms in adolescents: a systematic review and meta-analysis,Tim,Carter,7201799357,Tim Carter
14,The effect of exercise on depressive symptoms in adolescents: a systematic review and meta-analysis,Ioannis D.,Morres,15752770000,Ioannis D. Morres
14,The effect of exercise on depressive symptoms in adolescents: a systematic review and meta-analysis,Oonagh,Meade,35318571400,Oonagh Meade
14,The effect of exercise on depressive symptoms in adolescents: a systematic review and meta-analysis,Patrick,Callaghan,56007614600,Patrick Callaghan
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Felipe B.,Schuch,14016488400,Felipe B. Schuch
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Davy,Vancampfort,26326634000,Davy Vancampfort
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Simon,Rosenbaum,45761309400,Simon Rosenbaum
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Justin,Richards,56949738900,Justin Richards
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Philip B.,Ward,7402102266,Philip B. Ward
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Nicola,Veronese,36998781200,Nicola Veronese
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Marco,Solmi,6507233742,Marco Solmi
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Eduardo L.,Cadore,24480570200,Eduardo L. Cadore
15,Exercise for depression in older adults: a meta-analysis of randomized controlled trials adjusting for publication bias,Brendon,Stubbs,57204891343,Brendon Stubbs
16,Exercise as a treatment for depression: A meta-analysis,Siri,Kvam,163,Siri Kvam
16,Exercise as a treatment for depression: A meta-analysis,Catrine Lykkedrang,Kleppe,164,Catrine Lykkedrang Kleppe
16,Exercise as a treatment for depression: A meta-analysis,Inger,Hilde Nordhus,165,Inger Hilde Nordhus
16,Exercise as a treatment for depression: A meta-analysis,Anders,Hovland,190,Anders Hovland
17,Should we recommend exercise to adolescents with depressive symptoms? A meta-analysis: Exercise and depression in adolescents,Sara,Radovic,57193791658,Sara Radovic
17,Should we recommend exercise to adolescents with depressive symptoms? A meta-analysis: Exercise and depression in adolescents,Michael S.,Gordon,56714626000,Michael S. Gordon
17,Should we recommend exercise to adolescents with depressive symptoms? A meta-analysis: Exercise and depression in adolescents,Glenn A.,Melvin,6603806651,Glenn A. Melvin
18,A systematic review of cognitive effects of exercise in depression,N.,Brondino,16229631000,N. Brondino
18,A systematic review of cognitive effects of exercise in depression,M.,Rocchetti,55486699800,M. Rocchetti
18,A systematic review of cognitive effects of exercise in depression,L.,Fusar-Poli,56652240300,L. Fusar-Poli
18,A systematic review of cognitive effects of exercise in depression,E.,Codrons,55735387800,E. Codrons
18,A systematic review of cognitive effects of exercise in depression,L.,Correale,56312494600,L. Correale
18,A systematic review of cognitive effects of exercise in depression,M.,Vandoni,24778918500,M. Vandoni
18,A systematic review of cognitive effects of exercise in depression,C.,Barbui,36886312000,C. Barbui
18,A systematic review of cognitive effects of exercise in depression,P.,Politi,57201386464,P. Politi
19,A systematic review of yoga for major depressive disorder,Holger,Cramer,50161242500,Holger Cramer
19,A systematic review of yoga for major depressive disorder,Dennis,Anheyer,57191537058,Dennis Anheyer
19,A systematic review of yoga for major depressive disorder,Romy,Lauche,23482138400,Romy Lauche
19,A systematic review of yoga for major depressive disorder,Gustav,Dobos,55491154600,Gustav Dobos
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Kanokporn,Sukhato,56769973600,Kanokporn Sukhato
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Manote,Lotrakul,6507562219,Manote Lotrakul
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Alan,Dellow,16300969400,Alan Dellow
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Pichai,Ittasakul,54885338400,Pichai Ittasakul
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Ammarin,Thakkinstian,6602111727,Ammarin Thakkinstian
20,Efficacy of home-based non-pharmacological interventions for treating depression: a systematic review and network meta-analysis of randomised controlled trials,Thunyarat,Anothaisintawee,26533839900,Thunyarat Anothaisintawee
21,Exercise for patients with major depression: a systematic review with meta-analysis and trial sequential analysis,Jesper,Krogh,15069543200,Jesper Krogh
21,Exercise for patients with major depression: a systematic review with meta-analysis and trial sequential analysis,Carsten,Hjorthøj,17343946100,Carsten Hjorthøj
21,Exercise for patients with major depression: a systematic review with meta-analysis and trial sequential analysis,Helene,Speyer,56685782700,Helene Speyer
21,Exercise for patients with major depression: a systematic review with meta-analysis and trial sequential analysis,Christian,Gluud,7004884514,Christian Gluud
21,Exercise for patients with major depression: a systematic review with meta-analysis and trial sequential analysis,Merete,Nordentoft,7006191523,Merete Nordentoft
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Davy,Vancampfort,26326634000,Davy Vancampfort
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Joseph,Firth,56503241000,Joseph Firth
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Felipe B.,Schuch,14016488400,Felipe B. Schuch
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Simon,Rosenbaum,45761309400,Simon Rosenbaum
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",James,Mugisha,37023472700,James Mugisha
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Mats,Hallgren,35072791900,Mats Hallgren
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Michel,Probst,7102075562,Michel Probst
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Philip B.,Ward,7402102266,Philip B. Ward
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Fiona,Gaughran,6602336142,Fiona Gaughran
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Marc,De Hert,7004425915,Marc De Hert
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",André F.,Carvalho,56225206500,André F. Carvalho
22,"Sedentary behavior and physical activity levels in people with schizophrenia, bipolar disorder and major depressive disorder: a global systematic review and meta-analysis",Brendon,Stubbs,57204891343,Brendon Stubbs
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Liye,Zou,57192235862,Liye Zou
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Albert,Yeung,24315287900,Albert Yeung
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Xinfeng,Quan,57200397889,Xinfeng Quan
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Stanley Sai Chuen,Hui,57191242489,Stanley Sai Chuen Hui
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Xiaoyue,Hu,57221044259,Xiaoyue Hu
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Jessie S.M.,Chan,54893588800,Jessie S.M. Chan
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Chaoyi,Wang,55774718700,Chaoyi Wang
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Sean David,Boyden,57188931745,Sean David Boyden
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Li,Sun,57201111532,Li Sun
23,Mindfulness-based Baduanjin exercise for depression and anxiety in people with physical or mental illnesses: a systematic review and meta-analysis,Huiru,Wang,56046884000,Huiru Wang
24,Treating depression with physical activity in adolescents and young adults: a systematic review and meta-analysis of randomised controlled trials,A. P.,Bailey,55924691100,A. P. Bailey
24,Treating depression with physical activity in adolescents and young adults: a systematic review and meta-analysis of randomised controlled trials,S. E.,Hetrick,16444162500,S. E. Hetrick
24,Treating depression with physical activity in adolescents and young adults: a systematic review and meta-analysis of randomised controlled trials,S.,Rosenbaum,45761309400,S. Rosenbaum
24,Treating depression with physical activity in adolescents and young adults: a systematic review and meta-analysis of randomised controlled trials,R.,Purcell,7102497294,R. Purcell
24,Treating depression with physical activity in adolescents and young adults: a systematic review and meta-analysis of randomised controlled trials,A. G.,Parker,14833384000,A. G. Parker
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Brett R.,Gordon,57195406552,Brett R. Gordon
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Cillian P.,McDowell,57189003519,Cillian P. McDowell
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Mats,Hallgren,35072791900,Mats Hallgren
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Jacob D.,Meyer,54585710400,Jacob D. Meyer
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Mark,Lyons,24381887600,Mark Lyons
25,Association of efficacy of resistance exercise training with depressive symptoms: meta-analysis and meta-regression analysis of randomized clinical trials,Matthew P.,Herring,27067659600,Matthew P. Herring
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Felipe B.,Schuch,14016488400,Felipe B. Schuch
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Davy,Vancampfort,26326634000,Davy Vancampfort
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Joseph,Firth,56503241000,Joseph Firth
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Simon,Rosenbaum,45761309400,Simon Rosenbaum
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Philip B.,Ward,7402102266,Philip B. Ward
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Edson S.,Silva,57212116249,Edson S. Silva
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Mats,Hallgren,35072791900,Mats Hallgren
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Antonio Ponce,De Leon,7006344446,Antonio Ponce De Leon
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Andrea L.,Dunn,7201720357,Andrea L. Dunn
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Andrea C.,Deslandes,6602385251,Andrea C. Deslandes
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Marcelo P.,Fleck,7004523568,Marcelo P. Fleck
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,André F.,Carvalho,57214830066,André F. Carvalho
26,Physical activity and incident depression: a meta-analysis of prospective cohort studies,Brendon,Stubbs,57204891343,Brendon Stubbs
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Ana Heloisa Nascimento,Beserra,57327765900,Ana Heloisa Nascimento Beserra
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Priscila,Kameda,57205168661,Priscila Kameda
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Andrea Camaz,Deslandes,6602385251,Andrea Camaz Deslandes
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Felipe Barreto,Schuch,14016488400,Felipe Barreto Schuch
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Jerson,Laks,56218826200,Jerson Laks
27,Can physical exercise modulate cortisol level in subjects with depression? A systematic review and meta-analysis,Helena Sales de,Moraes,21734345600,Helena Sales de Moraes
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Ioannis D.,Morres,15752770000,Ioannis D. Morres
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Antonis,Hatzigeorgiadis,6602278210,Antonis Hatzigeorgiadis
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Afroditi,Stathi,22136826400,Afroditi Stathi
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Nikos,Comoutos,57195557334,Nikos Comoutos
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Chantal,Arpin-Cribbie,6504077128,Chantal Arpin-Cribbie
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Charalampos,Krommidas,55883537400,Charalampos Krommidas
28,Aerobic exercise for adult patients with major depressive disorder in mental health services: A systematic review and meta-analysis,Yannis,Theodorakis,6701441570,Yannis Theodorakis
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Louise,Czosnek,57204286814,Louise Czosnek
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Oscar,Lederman,56641855000,Oscar Lederman
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Prue,Cormie,14017684300,Prue Cormie
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Eva,Zopf,39862439600,Eva Zopf
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Brendon,Stubbs,57204891343,Brendon Stubbs
29,"Health benefits, safety and cost of physical activity interventions for mental health conditions: A meta-review to inform translation efforts",Simon,Rosenbaum,45761309400,Simon Rosenbaum
30,Running through your mind,John H.,Greist,7006893886,John H. Greist
30,Running through your mind,Marjorie H.,Klein,7404419547,Marjorie H. Klein
30,Running through your mind,Roger R.,Eischens,6506281745,Roger R. Eischens
30,Running through your mind,John,Faris,24539482700,John Faris
30,Running through your mind,Alan S.,Gurman,6701313040,Alan S. Gurman
30,Running through your mind,William P.,Morgan,7402679913,William P. Morgan
31,Running as treatment for depression,John H.,Greist,7006893886,John H. Greist
31,Running as treatment for depression,Marjorie H.,Klein,7404419547,Marjorie H. Klein
31,Running as treatment for depression,Roger R.,Eischens,6506281745,Roger R. Eischens
31,Running as treatment for depression,John,Faris,24539482700,John Faris
31,Running as treatment for depression,Alan S.,Gurman,6701313040,Alan S. Gurman
31,Running as treatment for depression,William P.,Morgan,7402679913,William P. Morgan
32,A Comparison of the Psychological Effects of Running and Transactional Analysis Stroking for the Relief of Reactive Depression in Adults,Robert Joseph,Fetsch,103,Robert Joseph Fetsch
33,The Effect of Running on Individuals Who Are Clinically Depressed,Martha Ann,Rueter,104,Martha Ann Rueter
34,Clinical Treatments of Depression,Deborah Kay,Orth,105,Deborah Kay Orth
35,A Comparison of Beck's Cognitive Therapy and Jogging as Treatments for Depression, Mary Joan,Hess-Homeier,106, Mary Joan Hess-Homeier
36,Physical fitness training and counseling as treatment for youthful offenders,James C.,Hilyer,166,James C. Hilyer
36,Physical fitness training and counseling as treatment for youthful offenders,Dennis G.,Wilson,167,Dennis G. Wilson
36,Physical fitness training and counseling as treatment for youthful offenders,Carol,Dillon,168,Carol Dillon
36,Physical fitness training and counseling as treatment for youthful offenders,Laura,Caro,169,Laura Caro
36,Physical fitness training and counseling as treatment for youthful offenders,Chester,Jenkins,170,Chester Jenkins
36,Physical fitness training and counseling as treatment for youthful offenders,Mark E.,Meadows,171,Mark E. Meadows
36,Physical fitness training and counseling as treatment for youthful offenders,Wayne,Booker,172,Wayne Booker
36,Physical fitness training and counseling as treatment for youthful offenders,William A.,Spencer,173,William A. Spencer
37,The Separate and Combined Effects of Cognitively Based Counseling and Aerobic Exercise for the Treatment of Mild and Moderate Depression,Jeff,Fremont,6506535310,Jeff Fremont
38,Influence of aerobic exercise on depression,I. Lisa,McCann,6603569492,I. Lisa McCann
38,Influence of aerobic exercise on depression,David S.,Holmes,25949852000,David S. Holmes
39,Running as an adjunct to counseling in the treatment of depression,M,Reuter,107,M Reuter
39,Running as an adjunct to counseling in the treatment of depression,N,Mutrie,108,N Mutrie
39,Running as an adjunct to counseling in the treatment of depression,D. V,Harris,109,D. V Harris
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Marjorie H.,Klein,7404419547,Marjorie H. Klein
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,John H.,Greist,7006893886,John H. Greist
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Alan S.,Gurman,6701313040,Alan S. Gurman
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Robert A.,Neimeyer,7005719430,Robert A. Neimeyer
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Dean P.,Lesser,174,Dean P. Lesser
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Robert E.,Smith,175,Robert E. Smith
40,A comparative outcome study of group psychotherapy vs. exercise treatments for depression,Nancy J.,Bushnell,176,Nancy J. Bushnell
41,Effects of aerobic exercise on depression: a controlled study.,Egil W.,Martinsen,7006645948,Egil W. Martinsen
41,Effects of aerobic exercise on depression: a controlled study.,A.,Medhus,56587740900,A. Medhus
41,Effects of aerobic exercise on depression: a controlled study.,L.,Sandvik,57217502597,L. Sandvik
42,Aerobic Exercise and Group Counseling in the Treatment of Anxiety and Depression,John L,Setaro,110,John L Setaro
43,Aerobic Activity Versus Group Cognitive Therapy: An Evaluative Study of Contrasting Interventions for the Alleviation of Clinical Depression,Donald,Epstein,111,Donald Epstein
44,Exercise as a Treatment for Depression Within a National Health Service,Nanette,Mutrie,108,Nanette Mutrie
45,Aerobic exercise and cognitive therapy in the treatment of dysphoric moods,Jeffrey,Fremont,6506535310,Jeffrey Fremont
45,Aerobic exercise and cognitive therapy in the treatment of dysphoric moods,Linda Wilcoxon,Craighead,6701807247,Linda Wilcoxon Craighead
46,Running versus weight lifting in the treatment of depression,Elizabeth J.,Doyne,6506136404,Elizabeth J. Doyne
46,Running versus weight lifting in the treatment of depression,Deborah J.,Ossip-Klein,54879291500,Deborah J. Ossip-Klein
46,Running versus weight lifting in the treatment of depression,Eric D.,Bowman,7102143051,Eric D. Bowman
46,Running versus weight lifting in the treatment of depression,Kent M.,Osborn,7005345302,Kent M. Osborn
46,Running versus weight lifting in the treatment of depression,Ilona B.,McDougall-Wilson,6508123381,Ilona B. McDougall-Wilson
46,Running versus weight lifting in the treatment of depression,Robert A.,Neimeyer,7005719430,Robert A. Neimeyer
47,Exercise as a treatment for moderate depression in the UK National Health Service,Nanette,Mutrie,108,Nanette Mutrie
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,Mary E.,Farmer,7102225249,Mary E. Farmer
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,Ben Z.,Locke,7006590644,Ben Z. Locke
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,Eve K.,Mo?cicki,6701658147,Eve K. Mo?cicki
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,Andrew L.,Dannenberg,57214499609,Andrew L. Dannenberg
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,David B.,Larson,7402634129,David B. Larson
48,Physical activity and depressive symptoms: the NHANES I epidemiologic follow-up study,Lenore S.,Radloff,6506080406,Lenore S. Radloff
49,Physical and psychological effects of aerobic exercise in delinquent adolescent males,James R.,Macmahon,7005154844,James R. Macmahon
49,Physical and psychological effects of aerobic exercise in delinquent adolescent males,Ruth T.,Gross,57198558624,Ruth T. Gross
50,Effects of running or weight lifting on self-concept in clinically depressed women,Deborah J.,Ossip-Klein,54879291500,Deborah J. Ossip-Klein
50,Effects of running or weight lifting on self-concept in clinically depressed women,Elizabeth J.,Doyne,6506136404,Elizabeth J. Doyne
50,Effects of running or weight lifting on self-concept in clinically depressed women,Eric D.,Bowman,7102143051,Eric D. Bowman
50,Effects of running or weight lifting on self-concept in clinically depressed women,Kent M.,Osborn,7005345302,Kent M. Osborn
50,Effects of running or weight lifting on self-concept in clinically depressed women,Ilona B.,McDougall-Wilson,6508123381,Ilona B. McDougall-Wilson
50,Effects of running or weight lifting on self-concept in clinically depressed women,Robert A.,Neimeyer,7005719430,Robert A. Neimeyer
51,Comparing aerobic with nonaerobic forms of exercise in the treatment of clinical depression: A randomized trial,Egil W.,Martinsen,7006645948,Egil W. Martinsen
